interval_begin,interval_end,charging_mwh,discharging_mwh,state_of_charge_mwh,cleared_mw_gen_energy,cleared_mw_load_energy,cleared_mw_raise_reg,cleared_mw_lower_reg,price_energy,price_lower_reg,price_raise_reg
2021-05-05 00:00:00+10:00,2021-05-05 00:05:00+10:00,0.0,0.0,58.357706,0,0,0,0,36.1103,5.5,5.97619
2021-05-05 00:05:00+10:00,2021-05-05 00:10:00+10:00,0.0,3.623188406,54.73451759,80,0,0,0,36.3458,5.5,7.99
2021-05-05 00:10:00+10:00,2021-05-05 00:15:00+10:00,0.0,5.299275362,49.43524223,0,0,80,0,36.9803,7.73,11.0911
2021-05-05 00:15:00+10:00,2021-05-05 00:20:00+10:00,0.0,1.676086957,47.75915528,0,0,80,0,36.7909,9.97864,8.2
2021-05-05 00:20:00+10:00,2021-05-05 00:25:00+10:00,0.0,0.0,47.75915528,0,0,0,0,36.7878,10.7,7.99
2021-05-05 00:25:00+10:00,2021-05-05 00:30:00+10:00,0.0,0.377046957,47.38210832,0,0,80,80,36.9773,9.25,7.99
2021-05-05 00:30:00+10:00,2021-05-05 00:35:00+10:00,0.0,1.613233696,45.76887462,0,0,77,0,36.0363,5.5,7.99
2021-05-05 00:35:00+10:00,2021-05-05 00:40:00+10:00,0.0,1.676086957,44.09278767,0,0,80,0,35.9484,5.5,5.73
2021-05-05 00:40:00+10:00,2021-05-05 00:45:00+10:00,0.0,1.676086957,42.41670071,0,0,80,0,32.7567,5.5,7.99
2021-05-05 00:45:00+10:00,2021-05-05 00:50:00+10:00,0.0,1.676086957,40.74061375,0,0,80,0,33.9569,5.5,7.99
2021-05-05 00:50:00+10:00,2021-05-05 00:55:00+10:00,0.0,0.377046957,40.3635668,0,0,80,80,31.5755,5.5,7.9
2021-05-05 00:55:00+10:00,2021-05-05 01:00:00+10:00,0.0,1.059042957,39.30452384,0,0,80,38,33.6457,5.5,7.9
2021-05-05 01:00:00+10:00,2021-05-05 01:05:00+10:00,0.0,1.676086957,37.62843688,0,0,80,0,33.08,5.5,7.99
2021-05-05 01:05:00+10:00,2021-05-05 01:10:00+10:00,0.0,0.377046957,37.25138993,0,0,80,80,32.7244,5.5,10.6571
2021-05-05 01:10:00+10:00,2021-05-05 01:15:00+10:00,0.0,0.377046957,36.87434297,0,0,80,80,31.2736,5.5,10.6571
2021-05-05 01:15:00+10:00,2021-05-05 01:20:00+10:00,0.0,0.377046957,36.49729601,0,0,80,80,30.1703,5.5,9.99
2021-05-05 01:20:00+10:00,2021-05-05 01:25:00+10:00,0.0,0.377046957,36.12024906,0,0,80,80,31.2694,5.5,10.6571
